Step,Molecule,Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Potential_Energy,Kinetic_Energy,Current_Temperature,Total_Energy
50,0,1.000624,0.821024,0.130588,-0.690797,-0.186264,-0.744390,-1.719564,-1.410924,-0.224414,-0.654967,0.533005,1.005514,-0.121962
100,0,1.000624,0.821024,0.130588,-0.690797,-0.186264,-0.744390,-1.719564,-1.410924,-0.224414,-0.654967,0.533005,1.005514,-0.121962
150,0,1.000624,0.821024,0.130588,-0.690797,-0.186264,-0.744390,-1.719564,-1.410924,-0.224414,-0.654967,0.533005,1.005514,-0.121962
200,0,1.000624,0.821024,0.130588,-0.690797,-0.186264,-0.744390,-1.719564,-1.410924,-0.224414,-0.654967,0.533005,1.005514,-0.121962
250,0,1.000624,0.821024,0.130588,-0.690797,-0.186264,-0.744390,-1.719564,-1.410924,-0.224414,-0.654967,0.533006,1.005514,-0.121962
300,0,1.000624,0.821024,0.130588,-0.690797,-0.186264,-0.744390,-1.719564,-1.410924,-0.224414,-0.654967,0.533006,1.005514,-0.121961
350,0,1.000624,0.821024,0.130588,-0.690797,-0.186264,-0.744390,-1.719564,-1.410924,-0.224414,-0.654967,0.533006,1.005514,-0.121961
400,0,1.000624,0.821024,0.130588,-0.690797,-0.186264,-0.744390,-1.719564,-1.410924,-0.224414,-0.654967,0.533006,1.005514,-0.121961
450,0,1.000624,0.821024,0.130588,-0.690797,-0.186264,-0.744390,-1.719564,-1.410924,-0.224414,-0.654967,0.533006,1.005514,-0.121961
500,0,1.000624,0.821024,0.130588,-0.690797,-0.186264,-0.744390,-1.719564,-1.410924,-0.224414,-0.654967,0.533006,1.005514,-0.121961
550,0,1.000624,0.821024,0.130588,-0.690797,-0.186264,-0.744390,-1.719564,-1.410924,-0.224414,-0.654967,0.533006,1.005514,-0.121961
600,0,1.000624,0.821024,0.130588,-0.690798,-0.186264,-0.744390,-1.719564,-1.410924,-0.224414,-0.654967,0.533006,1.005514,-0.121961
650,0,1.000624,0.821024,0.130588,-0.690798,-0.186264,-0.744390,-1.719564,-1.410924,-0.224414,-0.654967,0.533006,1.005514,-0.121961
700,0,1.000624,0.821024,0.130588,-0.690798,-0.186264,-0.744391,-1.719564,-1.410924,-0.224414,-0.654967,0.533007,1.005514,-0.121961
750,0,1.000624,0.821024,0.130588,-0.690798,-0.186264,-0.744391,-1.719564,-1.410924,-0.224414,-0.654967,0.533007,1.005514,-0.121961
800,0,1.000624,0.821024,0.130588,-0.690798,-0.186264,-0.744391,-1.719564,-1.410924,-0.224414,-0.654967,0.533007,1.005514,-0.121960
850,0,1.000624,0.821024,0.130588,-0.690798,-0.186264,-0.744391,-1.719564,-1.410924,-0.224414,-0.654967,0.533007,1.005514,-0.121960
900,0,1.000624,0.821024,0.130588,-0.690798,-0.186264,-0.744391,-1.719564,-1.410924,-0.224414,-0.654967,0.533007,1.005514,-0.121960
950,0,1.000624,0.821024,0.130588,-0.690798,-0.186264,-0.744391,-1.719564,-1.410924,-0.224414,-0.654967,0.533007,1.005514,-0.121960
1000,0,1.000624,0.821024,0.130588,-0.690798,-0.186264,-0.744391,-1.719564,-1.410924,-0.224414,-0.654967,0.533007,1.005514,-0.121960
1050,0,1.000624,0.821024,0.130588,-0.690798,-0.186264,-0.744391,-1.719564,-1.410924,-0.224414,-0.654967,0.533007,1.005514,-0.121960
1100,0,1.000624,0.821024,0.130588,-0.690798,-0.186264,-0.744391,-1.719564,-1.410924,-0.224414,-0.654967,0.533007,1.005514,-0.121960
1150,0,1.000624,0.821024,0.130588,-0.690798,-0.186264,-0.744391,-1.719564,-1.410924,-0.224414,-0.654967,0.533007,1.005514,-0.121960
1200,0,1.000624,0.821024,0.130588,-0.690798,-0.186264,-0.744391,-1.719564,-1.410924,-0.224414,-0.654967,0.533008,1.005514,-0.121960
1250,0,1.000624,0.821024,0.130588,-0.690798,-0.186264,-0.744391,-1.719564,-1.410924,-0.224414,-0.654967,0.533008,1.005514,-0.121960
1300,0,1.000624,0.821024,0.130588,-0.690798,-0.186264,-0.744391,-1.719564,-1.410924,-0.224414,-0.654967,0.533008,1.005514,-0.121959
1350,0,1.000624,0.821024,0.130588,-0.690799,-0.186264,-0.744391,-1.719564,-1.410924,-0.224414,-0.654967,0.533008,1.005514,-0.121959
1400,0,1.000624,0.821024,0.130588,-0.690799,-0.186264,-0.744392,-1.719564,-1.410924,-0.224414,-0.654967,0.533008,1.005514,-0.121959
1450,0,1.000624,0.821024,0.130588,-0.690799,-0.186264,-0.744392,-1.719564,-1.410924,-0.224414,-0.654967,0.533008,1.005514,-0.121959
1500,0,1.000624,0.821024,0.130588,-0.690799,-0.186264,-0.744392,-1.719564,-1.410924,-0.224414,-0.654967,0.533008,1.005514,-0.121959
1550,0,1.000624,0.821024,0.130588,-0.690799,-0.186264,-0.744392,-1.719564,-1.410924,-0.224414,-0.654967,0.533008,1.005514,-0.121959
1600,0,1.000624,0.821024,0.130588,-0.690799,-0.186264,-0.744392,-1.719564,-1.410924,-0.224414,-0.654967,0.533008,1.005514,-0.121959
1650,0,1.000624,0.821024,0.130588,-0.690799,-0.186264,-0.744392,-1.719564,-1.410924,-0.224414,-0.654967,0.533008,1.005514,-0.121959
1700,0,1.000624,0.821024,0.130588,-0.690799,-0.186264,-0.744392,-1.719564,-1.410924,-0.224414,-0.654967,0.533009,1.005514,-0.121959
1750,0,1.000624,0.821024,0.130588,-0.690799,-0.186264,-0.744392,-1.719564,-1.410924,-0.224414,-0.654967,0.533009,1.005514,-0.121958
1800,0,1.000624,0.821024,0.130588,-0.690799,-0.186264,-0.744392,-1.719564,-1.410924,-0.224414,-0.654967,0.533009,1.005514,-0.121958
1850,0,1.000624,0.821024,0.130588,-0.690799,-0.186264,-0.744392,-1.719564,-1.410924,-0.224414,-0.654967,0.533009,1.005514,-0.121958
1900,0,1.000624,0.821024,0.130588,-0.690799,-0.186265,-0.744392,-1.719564,-1.410924,-0.224414,-0.654967,0.533009,1.005514,-0.121958
1950,0,1.000624,0.821024,0.130588,-0.690799,-0.186265,-0.744392,-1.719564,-1.410924,-0.224414,-0.654967,0.533009,1.005514,-0.121958
2000,0,1.000624,0.821024,0.130588,-0.690799,-0.186265,-0.744392,-1.719564,-1.410924,-0.224414,-0.654967,0.533009,1.005514,-0.121958
2050,0,1.000624,0.821024,0.130588,-0.690800,-0.186265,-0.744393,-1.719564,-1.410924,-0.224414,-0.654967,0.533009,1.005514,-0.121958
2100,0,1.000624,0.821024,0.130588,-0.690800,-0.186265,-0.744393,-1.719564,-1.410924,-0.224414,-0.654967,0.533009,1.005514,-0.121958
